filename,prediction,confidence,defective_prob,good_prob,not_tire_prob
S__14426116_0.jpg,good,0.9716722,0.02731008,0.9716722,0.0010177968
S__14426117_0.jpg,good,0.85823685,0.13990709,0.85823685,0.001856006
S__14426118_0.jpg,good,0.9719374,0.027893856,0.9719374,0.00016879843
S__14426119_0.jpg,defective,0.7871004,0.7871004,0.21027184,0.0026277767
S__14426120_0.jpg,good,0.94271934,0.054403752,0.94271934,0.0028768622
S__14426121_0.jpg,good,0.7976228,0.20227082,0.7976228,0.00010637357
S__14426122_0.jpg,defective,0.8965234,0.8965234,0.09350192,0.009974665
S__14426123_0.jpg,good,0.54626936,0.44422725,0.54626936,0.009503444
S__14426124_0.jpg,good,0.6530681,0.34519464,0.6530681,0.0017371682
S__14426125_0.jpg,not_tire,0.5279063,0.25373146,0.21836223,0.5279063
S__14426127_0.jpg,defective,0.9942689,0.9942689,0.0020919722,0.003639108
S__14426128_0.jpg,good,0.5615414,0.42539027,0.5615414,0.013068425
S__14426129_0.jpg,defective,0.62797046,0.62797046,0.36193764,0.010091892
S__14426130_0.jpg,defective,0.552431,0.552431,0.44470719,0.0028617969
S__14426132_0.jpg,defective,0.8300693,0.8300693,0.16550499,0.004425677
S__14426133_0.jpg,defective,0.7979983,0.7979983,0.20173006,0.00027156906
S__18063363_0.jpg,defective,0.5261069,0.5261069,0.4334179,0.040475234
S__18063364_0.jpg,good,0.6900985,0.30869752,0.6900985,0.0012039135
S__18063365_0.jpg,good,0.9460145,0.05392495,0.9460145,6.0530772e-05
S__18063366_0.jpg,good,0.9188175,0.06851861,0.9188175,0.012663867
S__18063367_0.jpg,defective,0.56771344,0.56771344,0.40587872,0.02640779
S__18063368_0.jpg,good,0.85083616,0.045678303,0.85083616,0.10348554
S__18063369_0.jpg,good,0.5678797,0.41138408,0.5678797,0.02073621
S__18063370_0.jpg,good,0.7087747,0.28833687,0.7087747,0.0028884073
S__18063371_0.jpg,good,0.5562362,0.44355068,0.5562362,0.00021313388
S__18063372_0.jpg,good,0.7866396,0.2116477,0.7866396,0.0017127526
S__18063374_0.jpg,defective,0.70643824,0.70643824,0.29300153,0.00056028983
S__18063375_0.jpg,good,0.84829634,0.1513678,0.84829634,0.0003358675
S__18063376_0.jpg,good,0.95910406,0.035652827,0.95910406,0.005243059
S__18063377_0.jpg,good,0.8630882,0.13688172,0.8630882,3.004421e-05
S__18063378_0.jpg,good,0.938636,0.06128429,0.938636,7.9722406e-05
S__18063379_0.jpg,defective,0.6862246,0.6862246,0.309864,0.0039114575
S__18063380_0.jpg,good,0.9884543,0.011523906,0.9884543,2.181352e-05
S__18063381_0.jpg,good,0.9745112,0.017471313,0.9745112,0.00801754
S__18063382_0.jpg,good,0.94150543,0.04577067,0.94150543,0.012723875
S__18063383_0.jpg,good,0.84771675,0.14910494,0.84771675,0.0031783222
S__18063384.jpg,defective,0.56257015,0.56257015,0.4332781,0.0041517355
